id,text,language,source,uci_binary,label,annotator,template_group,notes
uci_04500,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",en,uci_sms_spam_collection_v1,spam,NEEDS_REVIEW,,25189d45c05a,私人闲聊/日常对话，不属于业务通知或商业推广
uci_04501,Nvm take ur time.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,1df58959dc9c,私人闲聊/日常对话，不属于业务通知或商业推广
uci_04502,So wat's da decision?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,ecada7b3b28d,私人闲聊/日常对话，不属于业务通知或商业推广
uci_04503,Wot is u up 2 then bitch?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,55afb6685f95,私人闲聊/日常对话，不属于业务通知或商业推广
uci_04504,Stupid.its not possible,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,1f989e007ecb,私人闲聊/日常对话，不属于业务通知或商业推广
uci_04505,She told to hr that he want posting in chennai:)because i'm working here:),en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,95d277de231e,私人闲聊/日常对话，不属于业务通知或商业推广
uci_04506,Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,en,uci_sms_spam_collection_v1,spam,AD,,fb3e67d5e24c,正品手机配件订阅促销广告
uci_04507,When are you guys leaving?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,a5f7f74a4604,私人闲聊/日常对话，不属于业务通知或商业推广
uci_04508,He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. ¨¹ got a lot of work ar?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,bb388f7ccaf5,私人闲聊/日常对话，不属于业务通知或商业推广
uci_04509,Not able to do anything.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,febb8b4b51b5,私人闲聊/日常对话，不属于业务通知或商业推广
uci_04510,¨¹ takin linear algebra today?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,ccb10e06bf80,私人闲聊/日常对话，不属于业务通知或商业推广
uci_04511,This weekend is fine (an excuse not to do too much decorating),en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,471b2cc72f84,私人闲聊/日常对话，不属于业务通知或商业推广
uci_04512,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,6d392141e50d,私人闲聊/日常对话，不属于业务通知或商业推广
uci_04513,Now project pa. After that only i can come.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,eee9cebdc6f0,私人闲聊/日常对话，不属于业务通知或商业推广
uci_04514,Money i have won wining number 946 wot do i do next,en,uci_sms_spam_collection_v1,spam,FRAUD,,4b18cf73daff,假冒中奖通知，询问中奖号码后续操作
uci_04515,"Sure, whenever you show the fuck up &gt;:(",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,76953beb58ea,私人闲聊/日常对话，不属于业务通知或商业推广
uci_04516,That was random saw my old roomate on campus. He graduated,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,399fa9c96f19,私人闲聊/日常对话，不属于业务通知或商业推广
uci_04517,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",en,uci_sms_spam_collection_v1,spam,FRAUD,,cc5a1bb8128d,假中奖通知，诱导拨打付费电话
uci_04518,"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife....",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,13e42b1059bf,私人闲聊/日常对话，不属于业务通知或商业推广
