id,text,language,source,uci_binary,label,annotator,template_group,notes
uci_05100,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!",en,uci_sms_spam_collection_v1,spam,AD,,dc893bb292fb,推广免费手机彩铃/游戏/壁纸下载，属于移动内容订阅广告
uci_05101,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money.",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,2552fadf9ce7,朋友间闲聊，内容涉及社交关系困惑，私人对话
uci_05102,"Aight, call me once you're close",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,d6495126a186,约定见面后电话联系，私人出行协调
uci_05103,Nope thats fine. I might have a nap tho!,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,c2a6bcffbc06,回复对方说可以小睡，个人闲聊
uci_05104,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,en,uci_sms_spam_collection_v1,spam,AD,,b70b8b3c50cd,重新发送移动内容订单通知，属于商家广告推送
uci_05105,In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,7da4eae5981f,抱怨朋友没钱，个人之间的闲聊内容
uci_05106,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,befe8df454c1,转发幽默故事/笑话，属转发娱乐内容
uci_05107,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,91d2e9075b42,提及想买宝马缺钱，私人倾诉/闲聊
uci_05108,Ding me on ya break fassyole! Blacko from londn,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,8ecc03a4a79f,个人问候Ding me on ya break，俚语/方言闲聊
uci_05109,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,9611fa003e63,情侣间亲密表达，私人情感消息
